,DEVELOPMENTAL,PSYCHOTIC,BIPOLAR,DEPRESSIVE,ANXIETY,OBSESSIVE_COMPULSIVE,TRAUMA_STRESSOR,COGNITIVE
left_frontal_pole,0.0,0.0,0.0,0.04775543589961378,0.0,0.0,0.0,0.0
left_insular_cortex,0.0,0.0,0.0,0.0,0.05071598998691254,0.0,0.07067838040734667,0.0
left_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06269368543187664
left_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06401076366071855
left_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_inferior_frontal_gyrus_pars_opercularis,0.07206411965451276,0.05905763629374016,0.0,0.0,0.0,0.0,0.0,0.0
left_precentral_gyrus,0.03365953921699242,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_pole,0.0,0.0,0.0,0.056567834783814226,0.0,0.0,0.0,0.0
left_superior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_superior_temporal_gyrus_posterior_division,0.10326278644273067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_middle_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_middle_temporal_gyrus_posterior_division,0.10903129376395812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_middle_temporal_gyrus_temporooccipital_part,0.17752567012459375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_posterior_division,0.08410501348439486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_inferior_temporal_gyrus_temporooccipital_part,0.17481006704461804,0.0,0.0,0.0,0.0,0.0,0.0,0.08588195644132932
left_postcentral_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06884537280426911
left_superior_parietal_lobule,0.08577234319385058,0.0,0.0,0.0,0.0,0.0,0.0,0.13418815793420594
left_supramarginal_gyrus_anterior_division,0.06649408591934397,0.0,0.0,0.0,0.0,0.0,0.0,0.08017673444705586
left_supramarginal_gyrus_posterior_division,0.11666893291005426,0.0,0.0,0.0,0.0,0.0,0.0,0.07477907225274191
left_angular_gyrus,0.10207205556520145,0.0,0.0,0.0,0.0,0.0,0.0,0.08457395440689694
left_lateral_occipital_cortex_superior_division,0.04458567353432012,0.0,0.0,0.0,0.0,0.0,0.0,0.07466425169395657
left_lateral_occipital_cortex_inferior_division,0.11630689788040628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_intracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_frontal_medial_cortex,0.0,0.0,0.0,0.08457576706762891,0.10730432249087697,0.0,0.0,0.0
left_supplementary_motor_cortex,0.06105291397615793,0.0,0.0,0.0,0.0,0.0,0.0,0.08801123143491238
left_subcallosal_cortex,0.0,0.0,0.11983576955789832,0.11780325075365086,0.0,0.0,0.0,0.0
left_paracingulate_gyrus,0.0,0.0,0.0,0.033933426061536015,0.0,0.0,0.0,0.0
left_cingulate_gyrus_anterior_division,0.0,0.0,0.0,0.03852387333091892,0.0,0.0,0.0,0.0
left_cingulate_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_precuneous_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779851469626136
left_cuneal_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_frontal_orbital_cortex,0.0,0.0,0.0,0.038635326853213456,0.04751126047322158,0.0,0.0,0.0
left_parahippocampal_gyrus_anterior_division,0.0,0.0,0.0,0.08320658389779338,0.16104974385666568,0.0,0.22893216569639535,0.0
left_parahippocampal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.12376035278324449,0.0
left_lingual_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_fusiform_cortex_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_temporal_occipital_fusiform_cortex,0.10701582048827024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_occipital_fusiform_gyrus,0.09919010485180808,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_frontal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_parietal_operculum_cortex,0.06584898108395668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_planum_polare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_planum_temporale,0.09424932988399264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_supracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_occipital_pole,0.08820501780580838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_caudate,0.0,0.0,0.0,0.0,0.0,0.22839116655436928,0.0,0.0
left_putamen,0.0,0.0,0.0,0.0,0.0,0.13443947757728963,0.0,0.0
left_pallidum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left_hippocampus,0.0,0.0,0.0,0.057384398139874095,0.1595913352878239,0.0,0.1968893224585793,0.0
left_amygdala,0.0,0.0,0.0,0.13640171185993955,0.3054068906795401,0.0,0.3681517922595004,0.0
left_accumbens,0.0,0.0,0.0,0.0,0.0,0.21287578918629171,0.0,0.0
left_brainstem,0.0,0.0,0.0,0.0,0.0,0.0,0.18065601668080003,0.0
left_cerebellum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09216897998131308
right_frontal_pole,0.0,0.0,0.04086897250334156,0.04281494629189881,0.0,0.0,0.0,0.0
right_insular_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_superior_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06077114023616595
right_middle_frontal_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09694879675566688
right_inferior_frontal_gyrus_pars_triangularis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_inferior_frontal_gyrus_pars_opercularis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_precentral_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04690410705577051
right_temporal_pole,0.0,0.0,0.0,0.06023613885864778,0.10604268796767816,0.0,0.0907216865587649,0.0
right_superior_temporal_gyrus_anterior_division,0.089355833537345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_superior_temporal_gyrus_posterior_division,0.10380780690302911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_middle_temporal_gyrus_anterior_division,0.10541290906839677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_middle_temporal_gyrus_posterior_division,0.09174619966587398,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_middle_temporal_gyrus_temporooccipital_part,0.0968115534200518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_inferior_temporal_gyrus_temporooccipital_part,0.10885602723233427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_postcentral_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_superior_parietal_lobule,0.052171046752688965,0.0,0.0,0.0,0.0,0.0,0.0,0.1385554775293689
right_supramarginal_gyrus_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08012018715937151
right_supramarginal_gyrus_posterior_division,0.07582243744485148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_angular_gyrus,0.0727034800219881,0.0,0.0,0.0,0.0,0.0,0.0,0.08090658071733167
right_lateral_occipital_cortex_superior_division,0.03902130064329435,0.0,0.0,0.0,0.0,0.0,0.0,0.08688630292136278
right_lateral_occipital_cortex_inferior_division,0.0657733368362091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_intracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_frontal_medial_cortex,0.0,0.0,0.0,0.09326060023859038,0.10859080834378657,0.0,0.0,0.0
right_supplementary_motor_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_subcallosal_cortex,0.0,0.0,0.0,0.12293627580078824,0.13120638886495117,0.0,0.0,0.0
right_paracingulate_gyrus,0.0,0.0,0.0,0.03789755995328618,0.0,0.0,0.0,0.0
right_cingulate_gyrus_anterior_division,0.0,0.0,0.0,0.03987495814141762,0.046743659554718306,0.0,0.0,0.0
right_cingulate_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_precuneous_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_cuneal_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_frontal_orbital_cortex,0.0,0.0,0.0,0.034458867821610624,0.0,0.0775712783400557,0.0,0.0
right_parahippocampal_gyrus_anterior_division,0.0,0.0,0.0,0.08187181982074657,0.22505022569694258,0.0,0.25271082585528115,0.0
right_parahippocampal_gyrus_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.13478891095417778,0.0
right_lingual_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_temporal_fusiform_cortex_anterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_temporal_fusiform_cortex_posterior_division,0.0,0.0,0.0,0.0,0.0,0.0,0.13088188351707128,0.0
right_temporal_occipital_fusiform_cortex,0.07305827541678703,0.0,0.0,0.0,0.0,0.0,0.10534555556723771,0.0
right_occipital_fusiform_gyrus,0.06604764766807919,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_frontal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_central_opercular_cortex,0.0,0.0,0.0,0.0,0.0,0.09819969598121034,0.0,0.0
right_parietal_operculum_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_planum_polare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_heschls_gyrus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_planum_temporale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_supracalcarine_cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_occipital_pole,0.07167622843012585,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right_thalamus,0.0,0.0,0.07587121309454102,0.0,0.0,0.0,0.0,0.0
right_caudate,0.0,0.0,0.0,0.07073091243981867,0.0,0.17795730577487545,0.0,0.0
right_putamen,0.0,0.0,0.0,0.0576358393337166,0.0,0.16621966539057043,0.0,0.0
right_pallidum,0.0,0.0,0.0,0.0,0.0,0.24054596166296877,0.0,0.0
right_hippocampus,0.0,0.0,0.0,0.100470736992487,0.1729187958918544,0.0,0.23436063728645,0.0
right_amygdala,0.0,0.0,0.0,0.12872694349322075,0.28890168843755193,0.0,0.297779471907883,0.0
right_accumbens,0.0,0.0,0.0,0.12343536590089145,0.0,0.0,0.0,0.0
right_brainstem,0.0,0.0,0.0,0.11607532092116689,0.0,0.0,0.0,0.0
right_cerebellum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09105758419784843
